Virtual:  3870, Physical:  4126, Value:   3, TLB hit: false, PT hit: false 
Virtual: 58622, Physical:  9982, Value:  57, TLB hit: false, PT hit: true 
Virtual: 29780, Physical:  2388, Value:   0, TLB hit: true
Virtual: 62553, Physical:  9049, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2303, Physical:  7167, Value:  63, TLB hit: false, PT hit: true 
Virtual: 51915, Physical:   715, Value: 178, TLB hit: false, PT hit: true 
Virtual:  6251, Physical:  4459, Value:  26, TLB hit: false, PT hit: false 
Virtual: 38107, Physical:  9691, Value:  54, TLB hit: false, PT hit: true 
Virtual: 59325, Physical:  4797, Value:   0, TLB hit: false, PT hit: false 
Virtual: 61295, Physical:  4975, Value: 219, TLB hit: false, PT hit: false 
Virtual: 26699, Physical:  5195, Value:  18, TLB hit: false, PT hit: false 
Virtual: 51188, Physical:  5620, Value:   0, TLB hit: false, PT hit: false 
Virtual: 59519, Physical:  5759, Value:  31, TLB hit: false, PT hit: false 
Virtual:  7345, Physical:  6065, Value:   0, TLB hit: false, PT hit: false 
Virtual: 20325, Physical: 11365, Value:   0, TLB hit: false, PT hit: true 
Virtual: 39633, Physical:  6353, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1562, Physical:  6426, Value:   1, TLB hit: false, PT hit: false 
Virtual:  7580, Physical:  6812, Value:   0, TLB hit: false, PT hit: false 
Virtual:  8170, Physical:  7146, Value:   7, TLB hit: false, PT hit: false 
Virtual: 62256, Physical:  7216, Value:   0, TLB hit: false, PT hit: false 
Virtual: 35823, Physical:  7663, Value: 251, TLB hit: false, PT hit: false 
Virtual: 27790, Physical:  7822, Value:  27, TLB hit: false, PT hit: false 
Virtual: 13191, Physical:  8071, Value: 225, TLB hit: false, PT hit: false 
Virtual:  9772, Physical:  8236, Value:   0, TLB hit: false, PT hit: false 
Virtual:  7477, Physical:  6709, Value:   0, TLB hit: true
Virtual: 44455, Physical:  8615, Value: 105, TLB hit: false, PT hit: false 
Virtual: 59546, Physical:  5786, Value:  58, TLB hit: true
Virtual: 49347, Physical:  8899, Value:  48, TLB hit: false, PT hit: false 
Virtual: 36539, Physical:  9147, Value: 174, TLB hit: false, PT hit: false 
Virtual: 12453, Physical:  9381, Value:   0, TLB hit: false, PT hit: false 
Virtual: 49640, Physical:  9704, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28290, Physical:  9858, Value:  27, TLB hit: false, PT hit: false 
Virtual: 44817, Physical: 10001, Value:   0, TLB hit: false, PT hit: false 
Virtual:  8565, Physical: 10357, Value:   0, TLB hit: false, PT hit: false 
Virtual: 16399, Physical: 10511, Value:   3, TLB hit: false, PT hit: false 
Virtual: 41934, Physical: 14030, Value:  40, TLB hit: false, PT hit: true 
Virtual: 45457, Physical: 10897, Value:   0, TLB hit: false, PT hit: false 
Virtual: 33856, Physical:  3648, Value:   0, TLB hit: false, PT hit: true 
Virtual: 19498, Physical: 11050, Value:  19, TLB hit: false, PT hit: false 
Virtual: 17661, Physical:  1789, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63829, Physical: 11349, Value:   0, TLB hit: false, PT hit: false 
Virtual: 42034, Physical: 11570, Value:  41, TLB hit: false, PT hit: false 
Virtual: 28928, Physical: 11776, Value:   0, TLB hit: false, PT hit: false 
Virtual: 30711, Physical: 12279, Value: 253, TLB hit: false, PT hit: false 
Virtual:  8800, Physical: 12384, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52335, Physical: 12655, Value:  27, TLB hit: false, PT hit: false 
Virtual: 38775, Physical: 12919, Value: 221, TLB hit: false, PT hit: false 
Virtual: 52704, Physical: 13280, Value:   0, TLB hit: false, PT hit: false 
Virtual: 24380, Physical: 13372, Value:   0, TLB hit: false, PT hit: false 
Virtual: 19602, Physical: 11154, Value:  19, TLB hit: true
Virtual: 57998, Physical: 13710, Value:  56, TLB hit: false, PT hit: false 
Virtual:  2919, Physical: 13927, Value: 217, TLB hit: false, PT hit: false 
Virtual:  8362, Physical: 14250, Value:   8, TLB hit: false, PT hit: false 
Virtual: 17884, Physical: 14556, Value:   0, TLB hit: false, PT hit: false 
Virtual: 45737, Physical: 14761, Value:   0, TLB hit: false, PT hit: false 
Virtual: 47894, Physical: 14870, Value:  46, TLB hit: false, PT hit: false 
Virtual: 59667, Physical: 15123, Value:  68, TLB hit: false, PT hit: false 
Virtual: 10385, Physical: 15505, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52782, Physical: 15662, Value:  51, TLB hit: false, PT hit: false 
Virtual: 64416, Physical: 16032, Value:   0, TLB hit: false, PT hit: false 
Virtual: 40946, Physical: 16370, Value:  39, TLB hit: false, PT hit: false 
Virtual: 16778, Physical:   138, Value:  16, TLB hit: false, PT hit: false 
Virtual: 27159, Physical:  2839, Value: 133, TLB hit: false, PT hit: true 
Virtual: 24324, Physical: 13316, Value:   0, TLB hit: true
Virtual: 32450, Physical:   450, Value:  31, TLB hit: false, PT hit: false 
Virtual:  9108, Physical:   660, Value:   0, TLB hit: false, PT hit: false 
Virtual: 65305, Physical:   793, Value:   0, TLB hit: false, PT hit: false 
Virtual: 19575, Physical: 11127, Value:  29, TLB hit: false, PT hit: true 
Virtual: 11117, Physical:  1133, Value:   0, TLB hit: false, PT hit: false 
Virtual: 65170, Physical:  1426, Value:  63, TLB hit: false, PT hit: false 
Virtual: 58013, Physical: 13725, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61676, Physical:  1772, Value:   0, TLB hit: false, PT hit: false 
Virtual: 63510, Physical:  1814, Value:  62, TLB hit: false, PT hit: false 
Virtual: 17458, Physical:  2098, Value:  17, TLB hit: false, PT hit: false 
Virtual: 54675, Physical:  2451, Value: 100, TLB hit: false, PT hit: false 
Virtual:  1713, Physical:  6577, Value:   0, TLB hit: false, PT hit: true 
Virtual: 55105, Physical:  2625, Value:   0, TLB hit: false, PT hit: false 
Virtual: 65321, Physical:   809, Value:   0, TLB hit: true
Virtual: 45278, Physical:  3038, Value:  44, TLB hit: false, PT hit: false 
Virtual: 26256, Physical:  3216, Value:   0, TLB hit: false, PT hit: false 
Virtual: 64198, Physical:  3526, Value:  62, TLB hit: false, PT hit: false 
Virtual: 29441, Physical:  3585, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1928, Physical:  3976, Value:   0, TLB hit: false, PT hit: false 
Virtual: 39425, Physical:  6145, Value:   0, TLB hit: false, PT hit: true 
Virtual: 32000, Physical:  4096, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28549, Physical:  4485, Value:   0, TLB hit: false, PT hit: false 
Virtual: 46295, Physical:  4823, Value:  53, TLB hit: false, PT hit: false 
Virtual: 22772, Physical:  5108, Value:   0, TLB hit: false, PT hit: false 
Virtual: 58228, Physical:  5236, Value:   0, TLB hit: false, PT hit: false 
Virtual: 63525, Physical:  1829, Value:   0, TLB hit: true
Virtual: 32602, Physical:  5466, Value:  31, TLB hit: false, PT hit: false 
Virtual: 46195, Physical:  4723, Value:  28, TLB hit: true
Virtual: 55849, Physical:  5673, Value:   0, TLB hit: false, PT hit: false 
Virtual: 46454, Physical:  6006, Value:  45, TLB hit: false, PT hit: false 
Virtual:  7487, Physical:  6719, Value:  79, TLB hit: false, PT hit: true 
Virtual: 33879, Physical:  6231, Value:  21, TLB hit: false, PT hit: false 
Virtual: 42004, Physical: 11540, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8599, Physical: 10391, Value: 101, TLB hit: false, PT hit: true 
Virtual: 18641, Physical:  6609, Value:   0, TLB hit: false, PT hit: false 
Virtual: 49015, Physical:  6775, Value: 221, TLB hit: false, PT hit: false 
Virtual: 26830, Physical:  7118, Value:  26, TLB hit: false, PT hit: false 
